Attaching to citeframe-v5b-20260810t023605z-185747_caddy_1
caddy_1          | {"level":"info","ts":1786329741.171493,"msg":"maxprocs: Leaving GOMAXPROCS=20: CPU quota undefined"}
caddy_1          | {"level":"info","ts":1786329741.171668,"msg":"GOMEMLIMIT is updated","package":"github.com/KimMachineGun/automemlimit/memlimit","GOMEMLIMIT":37851730329,"previous":9223372036854775807}
caddy_1          | {"level":"info","ts":1786329741.1717048,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
caddy_1          | {"level":"info","ts":1786329741.1722429,"msg":"adapted config to JSON","adapter":"caddyfile"}
caddy_1          | {"level":"warn","ts":1786329741.1722686,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":2}
caddy_1          | {"level":"info","ts":1786329741.1846552,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//127.0.0.1:2019","//localhost:2019","//[::1]:2019"]}
caddy_1          | {"level":"warn","ts":1786329741.184829,"logger":"http.auto_https","msg":"server is listening only on the HTTP port, so no automatic HTTPS will be applied to this server","server_name":"srv0","http_port":80}
caddy_1          | {"level":"info","ts":1786329741.1849363,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0xc00057e300"}
caddy_1          | {"level":"warn","ts":1786329741.1949456,"logger":"http","msg":"HTTP/2 skipped because it requires TLS","network":"tcp","addr":":80"}
caddy_1          | {"level":"warn","ts":1786329741.1949747,"logger":"http","msg":"HTTP/3 skipped because it requires TLS","network":"tcp","addr":":80"}
caddy_1          | {"level":"info","ts":1786329741.1949775,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
caddy_1          | {"level":"info","ts":1786329741.1951463,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
caddy_1          | {"level":"info","ts":1786329741.1951642,"msg":"serving initial configuration"}
caddy_1          | {"level":"info","ts":1786329741.2251246,"logger":"tls","msg":"cleaning storage unit","storage":"FileStorage:/data/caddy"}
caddy_1          | {"level":"info","ts":1786329741.2501307,"logger":"tls","msg":"finished cleaning storage units"}
caddy_1          | {"level":"info","ts":1786329746.2335713,"logger":"admin.api","msg":"received request","method":"GET","host":"127.0.0.1:2019","uri":"/config/","remote_ip":"127.0.0.1","remote_port":"44932","headers":{"Accept":["*/*"],"Connection":["close"],"User-Agent":["Wget"]}}
caddy_1          | {"level":"info","ts":1786329756.2818131,"logger":"admin.api","msg":"received request","method":"GET","host":"127.0.0.1:2019","uri":"/config/","remote_ip":"127.0.0.1","remote_port":"41454","headers":{"Accept":["*/*"],"Connection":["close"],"User-Agent":["Wget"]}}
caddy_1          | {"level":"info","ts":1786329766.3473043,"logger":"admin.api","msg":"received request","method":"GET","host":"127.0.0.1:2019","uri":"/config/","remote_ip":"127.0.0.1","remote_port":"39876","headers":{"Accept":["*/*"],"Connection":["close"],"User-Agent":["Wget"]}}
